tweet_id,username,timestamp,content,normalized_content,reply_count,repost_count,like_count,view_count,bookmark_count,mentions,hashtags,query_tag,synthetic,engagement_total
sample-0000048,sample_trader_136,2026-08-03T11:19:41+00:00,"#NIFTY50 breakdown below support, bearish pressure increasing","#nifty50 breakdown below support, bearish pressure increasing",1,13,305,57009,11,,nifty50,nifty50,True,330
sample-0000049,sample_trader_262,2026-08-03T10:23:43+00:00,"#NIFTY50 breakdown below support, bearish pressure increasing","#nifty50 breakdown below support, bearish pressure increasing",3,49,460,75624,6,,nifty50,nifty50,True,518
sample-0000050,sample_trader_413,2026-08-03T13:32:14+00:00,#intraday short setup; avoid aggressive buying in this volatility,#intraday short setup; avoid aggressive buying in this volatility,17,25,186,56581,2,,intraday,intraday,True,230
sample-0000051,sample_trader_369,2026-08-04T03:55:46+00:00,"Bank Nifty में गिरावट, sell on rise setup #banknifty","bank nifty में गिरावट, sell on rise setup #banknifty",28,38,259,40588,13,,banknifty,banknifty,True,338
sample-0000052,sample_trader_216,2026-08-04T01:28:56+00:00,Weak breadth and downside risk in #sensex today,weak breadth and downside risk in #sensex today,21,48,346,22860,19,,sensex,sensex,True,434
sample-0000053,sample_trader_147,2026-08-03T21:24:11+00:00,"Bank Nifty में गिरावट, sell on rise setup #banknifty","bank nifty में गिरावट, sell on rise setup #banknifty",6,55,402,76069,19,,banknifty,banknifty,True,482
sample-0000054,sample_trader_346,2026-08-03T16:22:06+00:00,Watching option chain and market breadth before taking a trade #banknifty,watching option chain and market breadth before taking a trade #banknifty,6,65,242,22291,2,,banknifty,banknifty,True,315
sample-0000055,sample_trader_420,2026-08-04T05:04:00+00:00,SURE SHOT multibagger guaranteed double money #intraday,sure shot multibagger guaranteed double money #intraday,30,30,344,40737,7,,intraday,intraday,True,411
sample-0000056,sample_trader_126,2026-08-04T06:47:03+00:00,"Bank Nifty में तेजी, buyers are strong today #banknifty","bank nifty में तेजी, buyers are strong today #banknifty",15,78,435,9595,14,,banknifty,banknifty,True,542
sample-0000057,sample_trader_254,2026-08-03T18:29:12+00:00,SURE SHOT multibagger guaranteed double money #intraday,sure shot multibagger guaranteed double money #intraday,12,31,75,776,3,,intraday,intraday,True,121
sample-0000058,sample_trader_238,2026-08-03T13:36:31+00:00,Accumulating quality stocks on dips. Market looks strong #sensex,accumulating quality stocks on dips. market looks strong #sensex,1,71,127,15956,14,,sensex,sensex,True,213
sample-0000059,sample_trader_314,2026-08-03T16:21:12+00:00,Watching option chain and market breadth before taking a trade #banknifty,watching option chain and market breadth before taking a trade #banknifty,26,64,218,71860,14,,banknifty,banknifty,True,322
sample-0000060,sample_trader_385,2026-08-03T23:01:48+00:00,"No clear setup in #sensex yet, risk management is important","no clear setup in #sensex yet, risk management is important",7,35,392,68377,15,,sensex,sensex,True,449
sample-0000061,sample_trader_366,2026-08-04T05:38:45+00:00,"Bank Nifty में गिरावट, sell on rise setup #banknifty","bank nifty में गिरावट, sell on rise setup #banknifty",9,30,139,44070,10,,banknifty,banknifty,True,188
sample-0000062,sample_trader_119,2026-08-04T02:58:31+00:00,"Bank Nifty में तेजी, buyers are strong today #banknifty","bank nifty में तेजी, buyers are strong today #banknifty",12,19,361,28093,2,,banknifty,banknifty,True,394
sample-0000063,sample_trader_32,2026-08-03T17:19:44+00:00,"Bank Nifty में गिरावट, sell on rise setup #banknifty","bank nifty में गिरावट, sell on rise setup #banknifty",6,53,199,76606,0,,banknifty,banknifty,True,258
sample-0000064,sample_trader_4,2026-08-03T15:06:02+00:00,#NIFTY50 trading in a range; waiting for confirmation,#nifty50 trading in a range; waiting for confirmation,30,45,152,51166,13,,nifty50,nifty50,True,240
sample-0000065,sample_trader_113,2026-08-03T14:41:27+00:00,"No clear setup in #sensex yet, risk management is important","no clear setup in #sensex yet, risk management is important",8,55,248,3854,12,,sensex,sensex,True,323
sample-0000066,sample_trader_66,2026-08-03T15:26:59+00:00,"Bank Nifty में गिरावट, sell on rise setup #banknifty","bank nifty में गिरावट, sell on rise setup #banknifty",19,68,13,51695,18,,banknifty,banknifty,True,118
sample-0000067,sample_trader_220,2026-08-03T09:03:54+00:00,"Bank Nifty में तेजी, buyers are strong today #banknifty","bank nifty में तेजी, buyers are strong today #banknifty",4,59,93,6640,8,,banknifty,banknifty,True,164
sample-0000068,sample_trader_173,2026-08-03T20:34:00+00:00,"Bank Nifty में तेजी, buyers are strong today #banknifty","bank nifty में तेजी, buyers are strong today #banknifty",24,48,142,55305,8,,banknifty,banknifty,True,222
sample-0000069,sample_trader_27,2026-08-03T12:49:38+00:00,"No clear setup in #sensex yet, risk management is important","no clear setup in #sensex yet, risk management is important",30,44,114,9043,20,nseindia,sensex,sensex,True,208
sample-0000070,sample_trader_11,2026-08-04T01:12:30+00:00,"Bank Nifty में तेजी, buyers are strong today #banknifty","bank nifty में तेजी, buyers are strong today #banknifty",19,19,122,16594,15,,banknifty,banknifty,True,175
sample-0000071,sample_trader_359,2026-08-03T15:32:08+00:00,#NIFTY50 trading in a range; waiting for confirmation,#nifty50 trading in a range; waiting for confirmation,8,47,85,79465,19,,nifty50,nifty50,True,159
sample-0000072,sample_trader_56,2026-08-03T21:08:32+00:00,"#intraday long setup confirmed, upside possible after consolidation","#intraday long setup confirmed, upside possible after consolidation",18,3,475,40938,18,,intraday,intraday,True,514
sample-0000073,sample_trader_39,2026-08-04T01:14:45+00:00,"#NIFTY50 breakdown below support, bearish pressure increasing","#nifty50 breakdown below support, bearish pressure increasing",18,80,124,13406,9,,nifty50,nifty50,True,231
sample-0000074,sample_trader_401,2026-08-03T11:51:43+00:00,"No clear setup in #sensex yet, risk management is important","no clear setup in #sensex yet, risk management is important",1,44,272,56198,11,nseindia,sensex,sensex,True,328
sample-0000075,sample_trader_216,2026-08-04T08:00:22+00:00,Operator stock upper circuit fixed target 100% #sensex,operator stock upper circuit fixed target 100% #sensex,26,62,54,56872,11,,sensex,sensex,True,153
sample-0000076,sample_trader_91,2026-08-03T16:36:40+00:00,Watching option chain and market breadth before taking a trade #banknifty,watching option chain and market breadth before taking a trade #banknifty,23,66,494,35450,19,,banknifty,banknifty,True,602
sample-0000077,sample_trader_224,2026-08-03T15:32:29+00:00,"No clear setup in #sensex yet, risk management is important","no clear setup in #sensex yet, risk management is important",26,75,137,42295,7,,sensex,sensex,True,245
sample-0000078,sample_trader_125,2026-08-03T16:03:13+00:00,"Bank Nifty में तेजी, buyers are strong today #banknifty","bank nifty में तेजी, buyers are strong today #banknifty",24,59,291,49724,10,nseindia,banknifty,banknifty,True,384
sample-0000079,sample_trader_109,2026-08-03T14:42:56+00:00,"#NIFTY50 breakdown below support, bearish pressure increasing","#nifty50 breakdown below support, bearish pressure increasing",11,33,174,36705,19,,nifty50,nifty50,True,237
sample-0000080,sample_trader_98,2026-08-03T13:39:25+00:00,"Bank Nifty में गिरावट, sell on rise setup #banknifty","bank nifty में गिरावट, sell on rise setup #banknifty",2,30,368,53321,15,,banknifty,banknifty,True,415
sample-0000081,sample_trader_365,2026-08-03T08:57:01+00:00,"#intraday long setup confirmed, upside possible after consolidation","#intraday long setup confirmed, upside possible after consolidation",15,57,405,2310,2,,intraday,intraday,True,479
sample-0000082,sample_trader_340,2026-08-03T21:19:05+00:00,"Bank Nifty में गिरावट, sell on rise setup #banknifty","bank nifty में गिरावट, sell on rise setup #banknifty",18,47,242,72594,16,,banknifty,banknifty,True,323
sample-0000083,sample_trader_360,2026-08-03T19:39:28+00:00,#intraday levels posted for educational discussion only,#intraday levels posted for educational discussion only,14,34,156,33001,7,,intraday,intraday,True,211
sample-0000084,sample_trader_381,2026-08-04T04:06:50+00:00,"#NIFTY50 breakout above support, looking bullish with target 24500","#nifty50 breakout above support, looking bullish with target 24500",17,23,98,28411,15,,nifty50,nifty50,True,153
sample-0000085,sample_trader_100,2026-08-04T04:48:24+00:00,Watching option chain and market breadth before taking a trade #banknifty,watching option chain and market breadth before taking a trade #banknifty,9,29,184,23569,9,nseindia,banknifty,banknifty,True,231
sample-0000086,sample_trader_24,2026-08-03T22:28:46+00:00,"No clear setup in #sensex yet, risk management is important","no clear setup in #sensex yet, risk management is important",1,70,149,16601,20,,sensex,sensex,True,240
sample-0000087,sample_trader_294,2026-08-04T08:01:13+00:00,#intraday levels posted for educational discussion only,#intraday levels posted for educational discussion only,9,60,245,57783,10,,intraday,intraday,True,324
sample-0000088,sample_trader_59,2026-08-03T15:04:24+00:00,"#intraday long setup confirmed, upside possible after consolidation","#intraday long setup confirmed, upside possible after consolidation",26,8,205,64504,2,,intraday,intraday,True,241
sample-0000089,sample_trader_416,2026-08-04T03:02:05+00:00,"#intraday long setup confirmed, upside possible after consolidation","#intraday long setup confirmed, upside possible after consolidation",18,38,43,32580,3,,intraday,intraday,True,102
sample-0000090,sample_trader_195,2026-08-03T13:26:26+00:00,Weak breadth and downside risk in #sensex today,weak breadth and downside risk in #sensex today,14,56,152,77189,13,,sensex,sensex,True,235
sample-0000091,sample_trader_379,2026-08-03T10:16:15+00:00,#intraday levels posted for educational discussion only,#intraday levels posted for educational discussion only,3,26,320,27709,8,,intraday,intraday,True,357
sample-0000092,sample_trader_283,2026-08-04T02:08:18+00:00,Accumulating quality stocks on dips. Market looks strong #sensex,accumulating quality stocks on dips. market looks strong #sensex,2,20,1,53595,14,,sensex,sensex,True,37
sample-0000093,sample_trader_119,2026-08-04T07:16:42+00:00,"No clear setup in #sensex yet, risk management is important","no clear setup in #sensex yet, risk management is important",9,36,359,59560,2,,sensex,sensex,True,406
sample-0000094,sample_trader_59,2026-08-03T16:59:17+00:00,"#NIFTY50 breakdown below support, bearish pressure increasing","#nifty50 breakdown below support, bearish pressure increasing",17,28,331,19578,8,,nifty50,nifty50,True,384
sample-0000095,sample_trader_406,2026-08-04T02:25:33+00:00,"#NIFTY50 breakout above support, looking bullish with target 24500","#nifty50 breakout above support, looking bullish with target 24500",9,76,383,74657,9,,nifty50,nifty50,True,477
sample-0000096,sample_trader_140,2026-08-03T17:48:43+00:00,Watching option chain and market breadth before taking a trade #banknifty,watching option chain and market breadth before taking a trade #banknifty,16,69,252,57427,2,,banknifty,banknifty,True,339
sample-0000097,sample_trader_129,2026-08-03T10:29:11+00:00,#intraday short setup; avoid aggressive buying in this volatility,#intraday short setup; avoid aggressive buying in this volatility,0,11,117,75442,18,,intraday,intraday,True,146
sample-0000098,sample_trader_241,2026-08-04T02:05:18+00:00,"Bank Nifty में गिरावट, sell on rise setup #banknifty","bank nifty में गिरावट, sell on rise setup #banknifty",16,56,469,36508,5,,banknifty,banknifty,True,546
sample-0000099,sample_trader_241,2026-08-04T05:08:41+00:00,#intraday short setup; avoid aggressive buying in this volatility,#intraday short setup; avoid aggressive buying in this volatility,11,52,170,42131,3,,intraday,intraday,True,236
sample-0000100,sample_trader_148,2026-08-03T14:25:38+00:00,"Bank Nifty में गिरावट, sell on rise setup #banknifty","bank nifty में गिरावट, sell on rise setup #banknifty",21,51,416,72152,1,,banknifty,banknifty,True,489
sample-0000101,sample_trader_60,2026-08-03T20:41:48+00:00,"#NIFTY50 breakdown below support, bearish pressure increasing","#nifty50 breakdown below support, bearish pressure increasing",24,51,442,67499,0,,nifty50,nifty50,True,517
sample-0000102,sample_trader_28,2026-08-03T17:25:15+00:00,"No clear setup in #sensex yet, risk management is important","no clear setup in #sensex yet, risk management is important",6,66,185,65388,20,,sensex,sensex,True,277
sample-0000103,sample_trader_282,2026-08-03T22:44:37+00:00,"#intraday long setup confirmed, upside possible after consolidation","#intraday long setup confirmed, upside possible after consolidation",4,36,224,63582,3,nseindia,intraday,intraday,True,267
sample-0000104,sample_trader_160,2026-08-04T02:42:02+00:00,SURE SHOT multibagger guaranteed double money #intraday,sure shot multibagger guaranteed double money #intraday,17,1,282,53526,2,,intraday,intraday,True,302
sample-0000105,sample_trader_332,2026-08-04T04:11:24+00:00,"#intraday long setup confirmed, upside possible after consolidation","#intraday long setup confirmed, upside possible after consolidation",26,19,255,38304,16,,intraday,intraday,True,316
sample-0000106,sample_trader_125,2026-08-03T15:16:26+00:00,Weak breadth and downside risk in #sensex today,weak breadth and downside risk in #sensex today,14,70,74,50327,6,,sensex,sensex,True,164
sample-0000107,sample_trader_142,2026-08-04T05:55:30+00:00,#NIFTY50 trading in a range; waiting for confirmation,#nifty50 trading in a range; waiting for confirmation,24,53,174,66600,8,,nifty50,nifty50,True,259
sample-0000108,sample_trader_297,2026-08-03T11:05:49+00:00,Weak breadth and downside risk in #sensex today,weak breadth and downside risk in #sensex today,21,62,443,19526,14,,sensex,sensex,True,540
sample-0000109,sample_trader_391,2026-08-03T12:22:20+00:00,Weak breadth and downside risk in #sensex today,weak breadth and downside risk in #sensex today,17,48,233,42226,6,,sensex,sensex,True,304
sample-0000110,sample_trader_398,2026-08-03T23:57:47+00:00,"#intraday long setup confirmed, upside possible after consolidation","#intraday long setup confirmed, upside possible after consolidation",13,5,162,62043,12,,intraday,intraday,True,192
sample-0000111,sample_trader_19,2026-08-03T14:25:57+00:00,Operator stock upper circuit fixed target 100% #sensex,operator stock upper circuit fixed target 100% #sensex,4,64,494,77406,10,,sensex,sensex,True,572
sample-0000112,sample_trader_234,2026-08-03T13:19:03+00:00,#NIFTY50 trading in a range; waiting for confirmation,#nifty50 trading in a range; waiting for confirmation,0,18,209,20282,2,,nifty50,nifty50,True,229
sample-0000113,sample_trader_355,2026-08-03T09:46:29+00:00,"#NIFTY50 breakdown below support, bearish pressure increasing","#nifty50 breakdown below support, bearish pressure increasing",12,10,436,43115,17,,nifty50,nifty50,True,475
sample-0000114,sample_trader_19,2026-08-03T12:46:08+00:00,"#NIFTY50 breakdown below support, bearish pressure increasing","#nifty50 breakdown below support, bearish pressure increasing",19,8,120,37717,7,,nifty50,nifty50,True,154
sample-0000115,sample_trader_361,2026-08-03T09:23:34+00:00,#intraday short setup; avoid aggressive buying in this volatility,#intraday short setup; avoid aggressive buying in this volatility,27,12,227,21855,9,,intraday,intraday,True,275
sample-0000116,sample_trader_151,2026-08-04T06:25:25+00:00,Accumulating quality stocks on dips. Market looks strong #sensex,accumulating quality stocks on dips. market looks strong #sensex,11,47,220,19130,7,,sensex,sensex,True,285
sample-0000117,sample_trader_90,2026-08-04T02:16:40+00:00,#NIFTY50 trading in a range; waiting for confirmation,#nifty50 trading in a range; waiting for confirmation,2,78,445,50190,19,,nifty50,nifty50,True,544
sample-0000118,sample_trader_237,2026-08-04T00:00:47+00:00,#intraday levels posted for educational discussion only,#intraday levels posted for educational discussion only,20,32,235,33516,0,,intraday,intraday,True,287
sample-0000119,sample_trader_81,2026-08-03T12:33:57+00:00,Watching option chain and market breadth before taking a trade #banknifty,watching option chain and market breadth before taking a trade #banknifty,2,56,483,45343,18,,banknifty,banknifty,True,559
sample-0000120,sample_trader_155,2026-08-03T15:50:02+00:00,#intraday short setup; avoid aggressive buying in this volatility,#intraday short setup; avoid aggressive buying in this volatility,6,49,436,63385,3,,intraday,intraday,True,494
sample-0000121,sample_trader_152,2026-08-03T11:32:19+00:00,#NIFTY50 trading in a range; waiting for confirmation,#nifty50 trading in a range; waiting for confirmation,22,37,11,51929,8,nseindia,nifty50,nifty50,True,78
sample-0000122,sample_trader_398,2026-08-03T22:02:48+00:00,"#intraday long setup confirmed, upside possible after consolidation","#intraday long setup confirmed, upside possible after consolidation",25,29,310,46229,7,,intraday,intraday,True,371
sample-0000123,sample_trader_322,2026-08-04T03:29:13+00:00,#intraday levels posted for educational discussion only,#intraday levels posted for educational discussion only,3,80,330,5217,9,,intraday,intraday,True,422
sample-0000124,sample_trader_47,2026-08-04T03:40:56+00:00,Accumulating quality stocks on dips. Market looks strong #sensex,accumulating quality stocks on dips. market looks strong #sensex,29,37,167,54510,5,,sensex,sensex,True,238
sample-0000125,sample_trader_257,2026-08-03T13:08:21+00:00,"No clear setup in #sensex yet, risk management is important","no clear setup in #sensex yet, risk management is important",29,34,425,21617,8,,sensex,sensex,True,496
sample-0000126,sample_trader_412,2026-08-03T20:08:04+00:00,"No clear setup in #sensex yet, risk management is important","no clear setup in #sensex yet, risk management is important",3,59,493,9919,4,,sensex,sensex,True,559
sample-0000127,sample_trader_188,2026-08-03T12:10:32+00:00,Accumulating quality stocks on dips. Market looks strong #sensex,accumulating quality stocks on dips. market looks strong #sensex,2,50,7,34713,17,,sensex,sensex,True,76
sample-0000128,sample_trader_196,2026-08-03T11:11:01+00:00,#intraday short setup; avoid aggressive buying in this volatility,#intraday short setup; avoid aggressive buying in this volatility,26,47,55,30697,15,nseindia,intraday,intraday,True,143
sample-0000129,sample_trader_114,2026-08-03T10:15:16+00:00,#intraday levels posted for educational discussion only,#intraday levels posted for educational discussion only,20,8,325,60902,9,,intraday,intraday,True,362
sample-0000130,sample_trader_20,2026-08-04T06:48:57+00:00,"#intraday long setup confirmed, upside possible after consolidation","#intraday long setup confirmed, upside possible after consolidation",9,63,59,12789,7,,intraday,intraday,True,138
sample-0000131,sample_trader_190,2026-08-03T15:57:01+00:00,"#NIFTY50 breakout above support, looking bullish with target 24500","#nifty50 breakout above support, looking bullish with target 24500",21,69,214,77033,4,,nifty50,nifty50,True,308
sample-0000132,sample_trader_316,2026-08-03T14:39:01+00:00,Operator stock upper circuit fixed target 100% #sensex,operator stock upper circuit fixed target 100% #sensex,13,35,16,48616,6,,sensex,sensex,True,70
sample-0000133,sample_trader_352,2026-08-04T04:50:58+00:00,"#intraday long setup confirmed, upside possible after consolidation","#intraday long setup confirmed, upside possible after consolidation",11,69,461,47062,1,,intraday,intraday,True,542
sample-0000134,sample_trader_47,2026-08-03T15:54:40+00:00,"#NIFTY50 breakout above support, looking bullish with target 24500","#nifty50 breakout above support, looking bullish with target 24500",21,27,328,78319,0,nseindia,nifty50,nifty50,True,376
